start,end,id,capacity,length,speed,startlat,startlon,endlat,endlon
522,523,8615080,1,7.6344113,45,42.366596,-71.08822,42.36666,-71.08819
523,524,141451473,1,13.806096,45,42.36349,-71.08611,42.3636,-71.08604
524,525,141451473,5,38.653328,45,42.3636,-71.08604,42.36377,-71.08645
525,526,141451473,1,13.429535,45,42.36377,-71.08645,42.363663,-71.086525
526,527,141451473,2,19.205622,45,42.3636,-71.08604,42.363758,-71.08594
527,528,141451473,4,34.966606,45,42.363758,-71.08594,42.36392,-71.0863
528,529,141451473,2,20.383999,45,42.36392,-71.0863,42.36377,-71.08645
529,530,141451473,1,7.5,45,42.36434,-71.085434,42.364334,-71.08544
530,531,141451473,1,7.5,45,42.3646,-71.08524,42.364548,-71.08528
531,532,141451473,2,17.294523,45,42.36523,-71.085075,42.365376,-71.085
532,533,141451473,1,9.103991,45,42.366077,-71.085045,42.366158,-71.08502
533,534,141451473,1,11.187716,45,42.365288,-71.084274,42.365387,-71.08425
534,535,141451473,1,7.5,45,42.366642,-71.081856,42.36666,-71.0819
535,536,37389388,13,101.77727,45,42.361168,-71.08953,42.361107,-71.088295
536,537,37389388,4,30.331713,45,42.361523,-71.08397,42.361458,-71.08433
537,538,37389388,3,22.705267,45,42.361958,-71.083336,42.361763,-71.08325
538,539,37389388,1,13.677729,45,42.361763,-71.08325,42.36165,-71.08319
539,540,37389388,1,7.5,45,42.36165,-71.08319,42.361595,-71.083244
540,541,37389388,7,58.483723,45,42.361595,-71.083244,42.361366,-71.083885
541,542,37389388,2,18.70827,45,42.361366,-71.083885,42.361523,-71.08397
542,543,37389388,8,64.70055,45,42.361523,-71.08397,42.361763,-71.08325
543,544,37389388,1,7.862678,45,42.36172,-71.082054,42.361656,-71.082016
544,545,89785705,12,91.24354,45,42.36109,-71.08154,42.36077,-71.082565
545,546,268980339,1,11.062408,45,42.36161,-71.08547,42.361584,-71.08534
546,547,268980339,1,11.315166,45,42.361683,-71.08533,42.361675,-71.085464
547,548,268980339,1,9.440924,45,42.36191,-71.08504,42.36192,-71.08515
548,549,42769910,19,144.25658,45,42.35998,-71.08763,42.361176,-71.08832
549,550,42769910,18,142.12305,45,42.361176,-71.08832,42.36245,-71.08818
550,551,172054331,1,7.6847196,45,42.365803,-71.0852,42.365833,-71.08511
551,552,141451483,1,11.955207,45,42.364697,-71.08518,42.364605,-71.08526
552,553,141451483,1,7.5,45,42.363274,-71.08496,42.36326,-71.08493
553,554,141451483,1,7.5,45,42.36342,-71.084854,42.363403,-71.084816
554,555,141451483,1,7.5,45,42.36357,-71.08473,42.363556,-71.0847
555,556,8615283,38,291.8226,45,42.364075,-71.08017,42.36666,-71.07957
556,557,244444288,2,21.418344,45,42.36126,-71.07311,42.36124,-71.07285
557,558,8649468,1,7.5,45,42.3625,-71.070625,42.362507,-71.0707
558,559,8616106,1,7.5,45,42.361294,-71.07909,42.36125,-71.079094
559,560,8614583,8,64.61894,45,42.363235,-71.07866,42.362663,-71.0788
560,561,8614583,45,341.85767,45,42.36666,-71.07584,42.364143,-71.07823
561,562,8614583,5,42.555965,45,42.364143,-71.07823,42.3638,-71.07846
562,563,8614583,8,64.8589,45,42.3638,-71.07846,42.363235,-71.07866
563,564,8614583,8,65.89338,45,42.36296,-71.07832,42.363552,-71.07838
564,565,8614583,6,47.217407,45,42.363552,-71.07838,42.363956,-71.0782
565,566,8614583,49,369.32285,45,42.363956,-71.0782,42.36666,-71.07559
566,567,380662071,6,51.427326,45,42.361378,-71.07116,42.360954,-71.07091
567,568,8615862,3,26.730373,45,42.362324,-71.07887,42.362083,-71.07888
568,569,8615862,5,41.8001,45,42.361553,-71.078514,42.361927,-71.07846
569,570,89784394,10,82.49861,45,42.362083,-71.07888,42.36135,-71.07904
570,571,89784395,7,53.56336,45,42.360767,-71.079414,42.361027,-71.078865
571,572,89784395,6,46.082355,45,42.361027,-71.078865,42.36138,-71.078575
572,573,89784395,4,36.177895,45,42.362663,-71.0788,42.362343,-71.07887
573,574,89784395,7,52.906437,45,42.36215,-71.07843,42.362617,-71.07832
574,575,8615702,2,16.537848,45,42.361786,-71.08014,42.361668,-71.08002
575,576,8615702,4,30.249628,45,42.361668,-71.08002,42.36145,-71.08024
576,577,426659490,43,329.01044,45,42.36552,-71.08154,42.36501,-71.0776
577,578,426659490,3,28.511131,45,42.36501,-71.0776,42.364887,-71.07729
578,579,426659490,4,31.189566,45,42.36497,-71.07721,42.365112,-71.07754
579,580,426659490,44,334.02258,45,42.365112,-71.07754,42.365627,-71.08154
580,581,8615685,27,209.64032,45,42.365093,-71.078224,42.363235,-71.07866
581,582,89784395,1,7.5,45,42.362343,-71.07887,42.362324,-71.07887
582,583,89784395,2,19.735638,45,42.36138,-71.078575,42.361553,-71.078514
583,584,89784395,3,24.729591,45,42.361927,-71.07846,42.36215,-71.07843
584,585,89785705,3,26.52037,45,42.363235,-71.07866,42.36301,-71.07855
585,586,89785705,1,10.689957,45,42.36301,-71.07855,42.363003,-71.07842
586,587,89785705,1,8.5704775,45,42.363003,-71.07842,42.36305,-71.07834
587,588,89785705,2,18.877604,45,42.362614,-71.07158,42.362568,-71.0718
588,589,89785705,2,16.980505,45,42.362568,-71.0718,42.362465,-71.07195
589,590,89785705,15,116.700905,45,42.362465,-71.07195,42.361576,-71.07271
590,591,89785705,4,33.85075,45,42.361614,-71.07142,42.361378,-71.07116
591,592,89785705,6,48.621162,45,42.36141,-71.070786,42.361824,-71.07097
592,593,89785705,5,42.882927,45,42.361824,-71.07097,42.36221,-71.07099
593,594,384300260,23,177.02074,45,42.365093,-71.078224,42.36666,-71.07785
594,595,8616082,32,245.63834,45,42.366093,-71.07971,42.36571,-71.07677
595,596,356124054,66,497.93518,45,42.36666,-71.074554,42.363014,-71.07807
